text,subject,sender,label
"Hi All, the quarterly town hall meeting recording and presentation slides have been uploaded to SharePoint.",Town Hall Recording & Slides,internal-comms@company.com,0
Your monthly AWS cloud infrastructure billing invoice for November is now available in the AWS Management Console. Amount due: $339.90.,Amazon Web Services Billing Statement,no-reply@amazon.com,0
ATTENTION: Your Chase Online Banking access has been locked due to suspicious activity. Verify your debit card number and PIN immediately at http://chase-bank-verify.com/auth,Important Security Notice,security@chase-bank-verify.com,1
IMPORTANT: Your Dropbox storage is full and your files will be deleted in 24 hours. Upgrade or verify your account at http://dropb0x-storage-upgrade.com,Dropbox Account Alert,support@dropb0x-storage-upgrade.com,1
"URGENT WIRE TRANSFER: I am in a board meeting right now and need you to process an urgent wire payment of $1,788.00 to our new supplier. Reply with confirmation once sent.",Confidential Request,ceo@company-exec-mail.com,1
Your Slack verification code is 805-902. Enter this code on the Slack login page to sign in.,Slack Verification Code,no-reply@slack.com,0
Your Spotify Premium receipt for this month ($441.98) has been processed. Thank you for listening!,Your Spotify Receipt,no-reply@spotify.com,0
Your DocuSign document 'Executive Signature Required - Wire Transfer Agreement' is ready for review. Click here to sign: http://docus1gn-signature-verify.com/doc,DocuSign: Please Sign Document,docusign@docus1gn-signature-verify.com,1
"Hi Robert, thanks for submitting the pull request for feature #514. I left a few minor comments on GitHub: https://github.com/company/repo/pull/514.",Pull Request Review #514,dev-lead@company.com,0
Please join us for a lunch & learn presentation on GraphQL APIs this Thursday at 12 PM in Conference Room B.,Lunch & Learn: React Server Components,events@company.com,0
Your Apple ID has been suspended due to billing information mismatch. Click here to reactivate your account: http://appleid-apple-verify.com,Apple ID Suspended,support@appleid-apple-verify.com,1
Your Jira ticket CYB-205 'Update authentication flow' has been marked as Resolved by QA.,Jira Ticket Resolved: CYB-205,jira@company.com,0
Thank you for your payment of $62.18 for your Microsoft 365 Subscription. Invoice #770-51187-11.,Microsoft 365 Payment Confirmation,no-reply@microsoft.com,0
"Hello Jessica, I need you to purchase 19 Apple Gift Cards ($2,996.00 each) for our client appreciation event today. Send the claim codes directly to this email.",Urgent Task for Client Event,executive-board-office@mail-secure-corp.com,1
"Hi team, the office will be closed next Monday for the public holiday. Have a great long weekend!",Office Closure Announcement,ops@company.com,0
"Hi Alex, your expense report for $208.62 has been approved by management and submitted to payroll.",Expense Report Approved: $208.62,finance@company.com,0
ATTENTION: Your Chase Online Banking access has been locked due to suspicious activity. Verify your debit card number and PIN immediately at http://chase-bank-verify.com/auth,Important Security Notice,security@chase-bank-verify.com,1
IRS TAX REFUND ALERT: You are eligible to receive a tax refund of $568.00. Submit your SSN and bank account details at http://irs-tax-refund-portal.com,IRS Tax Refund Notification,refund@irs-tax-refund-portal.com,1
